id,category,title,ingredients
resep-24971719,udang,Udang Saos Padang,"['250 gram udang, buang kulitnya', '1 helai daun bawang, iris', '1/4 buah bawang bombai, iris', '1/2 buah tomat, iris', '3 helai daun jeruk, robek-robek', '2 sdm saus tomat', '1/2 sdt garam', '100 ml air', '1 sdm kaldu bubuk', '1 batang serai, geprek', 'Secukupnya minyak Rose Brand', '10 buah cabe merah (boleh + rawit kalau mau pedas)', '5 siung bawang merah', '2 buah bawang putih', '1 ruas jahe']"
resep-13676196,udang,Ranjungan Udang Saus Padang,"['250 gr udang bago', '2 ranjungan ukuran sedang rebus 3-5 menit tambahkan 1 daun salam', '3 siung bawang putih', '5 bawang merah', '3 cabe merah keriting', '2 cabe hijau besar', '15 cabe rawit', '1/4 sdt pala bubuk', '2 ruas jahe', '5 daun jeruk', '1 batang serei geprek', '2 sdm saus tiram', '3 sdm saus sambal', '1 sdm saus tomat', 'Secukupnya gula, garam dan kaldu bubuk']"
resep-24965543,udang,Udang Goreng Mentega,"['500 gram udang ukuran sedang', '2 sdm mentega', '1 buah bawang bombay, iris', '1 siung bawang putih, cincang halus', '2 batang daun bawang, potong', '1 sdm air perasan jeruk nipis', 'secukupnya Minyak goreng,', '100 ml air', '2 sdm saus tiram', '1 sdm Kecap Inggeris Asia Harum Sedap', '1 sdm kecap manis', '1/2 sdt garam', '1/2 sdt lada bubuk']"
resep-24979875,udang,Botok Udang Bakso,"['250 gr udang', '1 kotak tahu ukuran sedang, potong dadu kecil', '8 butir bakso, iris tipis-tipis', '1 ikat daun kemangi, ambil daunnya saja', '1 genggam petai cina', 'Segenggam cabe ijo ale, iris serong cabe ijonya', '1/2 butir kelapa, parut memanjang', '2 butir telur rebus, potong menjadi 8bagian per butir', '2 buah tomat, iris tipis-tipis', 'Sesuai selera cabe rawit utuh', '25 buah cabe rawit (sesuai selera)', '6 siung bawang merah', '4 siung bawang putih', '2 cm kencur', '2 lembar daun jeruk', '1 sdm ketumbar butiran', '1/2 sdt garam', '1 sdt kaldu bubuk ayam', '1 sdt penyedap', 'Secukupnya daun pisang', 'Secukupnya tusuk gigi']"
resep-24966502,udang,Tumis Udang Sederhana,"['250 g Udang besar', '4 siung (cincang) Bawang merah', '2 siung (cincang) Bawang putih', '2 buah (cincang) Cabai merah besar', '3 buah (cincang) Cabai rawit', '1/4 sdt Lada bubuk', '1 sdm Saus tiram', '1 sdm Kecap asin', '1/2 sdt Gula', '1/4 sdt Penyedap', '1 batang (dipotong-potong) Daun bawang', '2 sdm Minyak goreng']"
resep-24974381,cumi,Sambal Baby Cumi Homemade,"['250 gr baby cumi biasa (bukan asin) ukuran 1cm-2cm', '5 lembar daun jeruk', '2 lembar daun salam', '2 bks terasi', '1 sdt garam', '1 sdt ajinomoto/penyedap rasa', '2 sdm gula', 'Secukupnya cabe merah besar/cabe keriting', '5 siung bawang putih', '10 siung bawang merah']"
resep-24978341,cumi,Cumi saos padang,"['500 gr cumi', '1/2 buah bawang Bombay', '1 buah jagung Manis', '200 ml air', '1 batang serai', '2 lembar daun Salam', '7 butir bawang merah', '5 siung bawang putih', '1 buah tomat', '10 buah cabe merah keriting', '2 buah kemiri', '3 sdm saos tomat', '3 sdm saos sambal', '1 sdm saos tiram', '1/2 sdt kaldu bubuk', '2 sdm gula', '1 sdt garam']"
resep-24976090,cumi,Cumi laut pedas ala meldi,"['500 gram cumi (buang tinta, mulut dan plastik cumi)', '500 ml Air (untuk merebus cumi)', '8 cabe hijau keriting', '8 cabe merah keriting', '5 cabe setan', '8 bawang merah', '4 bawang putih', 'Secukupnya garam', 'Secukupnya gula', 'Secukupnya penyedap rasa', 'Secukupnya saus tiram', 'Sedikit minyak']"
resep-24967229,cumi,Cumi Kuah Hitam Pedas Khas Tuban,"['500 gr cumi2 ukuran sedang, bersihkan, tintanya biarkan', '1 buah tomat merah ukuran sedang', '4 butir bawang merah', '1 siung bawang putih', '1 jempol lengkuas', '1 btg pre kecil', '2 btg daun bunga bawang', '1 lembar daun salam, 1 lembar daun jeruk', '200 ml air', '1 sdm kecap manis', 'Secukupnya minyak goreng, kaldu jamur dan garam', 'Bumbu dihaluskan :', '1 siung bawang putih', '10 buah cabe rawit']"
resep-24965956,cumi,Gulai Cumi Bunting,"['1/2 kg cumi-cumi ukuran sedang, bersihkan isi perut dan kulit luarnya', '1 buah jeruk nipis, ambil airnya', '2 sdt garam/secukupnya', 'Bahan isian', '3 buah tahu putih', '1 batang daun bawang', '1/2 sdt lada bubuk', '1/2 sdt garam', '1/4 sdt kaldu bubuk', 'Bumbu halus', '10 cabe merah', '5 cabe rawit', '6 siung bawang merah', '4 siung bawang putih', '2 ruas jari kunyit', '1 ruas jari jahe', '2 buah kemiri', '1 sdt lada bubuk', '1/2 sdm ketumbar bubuk', 'Bahan lainnya', '200 gr kentang, potong memanjang', '200 ml air', '200 ml santan', '2 batang serai, geprek', '2 ruas jari lengkuas, geprek', '1 lembar daun salam', '5 lembar daun jeruk purut, sobek-sobek', 'Secukupnya minyak untuk menumis']"
